customer_id,age,annual_income,loan_amount,interest_rate,credit_score,dti_ratio,utilization_rate,employment_length_years,grade,purpose,home_ownership,region,loan_status,default_flag
C100000,43,33823,20672,13.6,689,18.1,55.2,6,E,home_improvement,MORTGAGE,West,Current,0
C100001,37,59140,17626,8.87,640,8.2,50.2,0,C,debt_consolidation,RENT,West,Current,0
C100002,45,68665,25604,12.3,589,32.2,76.1,4,E,debt_consolidation,RENT,Atlantic,Current,0
C100003,28,42988,13681,9.47,683,19.0,35.0,2,D,home_improvement,OWN,West,Current,0
C100004,23,60642,24903,5.0,778,28.4,43.7,6,A,major_purchase,MORTGAGE,Ontario,Current,0
C100005,28,29145,21769,19.23,594,32.5,64.8,14,G,debt_consolidation,RENT,West,Charged Off,1
C100006,23,112923,17916,12.82,565,15.4,52.0,15,E,debt_consolidation,MORTGAGE,West,Charged Off,1
C100007,57,44058,15795,14.64,561,20.4,74.7,15,E,major_purchase,MORTGAGE,Ontario,Current,0
C100008,49,149362,34987,7.15,646,15.8,55.2,1,A,debt_consolidation,RENT,Ontario,Current,0
C100009,29,59006,12281,10.02,583,28.7,71.9,7,C,debt_consolidation,MORTGAGE,Ontario,Current,0
C100010,47,95094,20086,7.64,708,19.6,50.8,0,B,small_business,MORTGAGE,Ontario,Current,0
C100011,43,58455,12748,16.16,676,23.7,56.8,7,F,major_purchase,RENT,Ontario,Current,0
C100012,26,59052,30499,11.5,657,18.1,40.2,9,D,credit_card,OWN,Atlantic,Current,0
C100013,66,46036,24208,15.44,512,20.6,52.3,12,E,credit_card,RENT,Prairies,Charged Off,1
C100014,65,63171,13252,12.25,670,27.1,72.5,5,C,debt_consolidation,RENT,Prairies,Current,0
C100015,56,69085,21588,9.74,693,16.5,60.0,0,B,debt_consolidation,RENT,Prairies,Current,0
C100016,59,42070,19804,7.42,795,15.2,21.7,7,C,small_business,MORTGAGE,Ontario,Current,0
C100017,46,56598,14384,5.48,644,11.0,55.9,6,A,major_purchase,MORTGAGE,Prairies,Current,0
C100018,58,45499,23307,14.0,615,17.1,12.4,9,E,debt_consolidation,OWN,Ontario,Current,0
C100019,45,168527,20725,12.56,752,9.7,33.3,1,D,debt_consolidation,RENT,Prairies,Current,0
