claim_id,customer_id,policy_type,premium_amount,claim_amount,incident_type,incident_severity,claim_date,settlement_days,region,policy_tenure_years,customer_age,fraud_reported,claim_status
CL200000,CU300000,Health,2222.45,9447.17,Theft,Moderate,2025-05-17,18,ON,2,29,0,Approved
CL200001,CU300001,Auto,1465.71,4528.49,Water Damage,Moderate,2025-08-27,33,ON,8,75,0,Approved
CL200002,CU300002,Auto,1921.23,16834.69,Injury,Major,2025-07-19,31,ON,7,21,0,Approved
CL200003,CU300003,Home,1722.24,30233.59,Injury,Major,2025-01-13,30,AB,11,74,0,Approved
CL200004,CU300004,Auto,1441.13,6407.46,Collision,Moderate,2025-04-19,21,SK,6,46,0,Approved
CL200005,CU300005,Auto,736.77,5895.72,Injury,Moderate,2024-10-14,34,QC,11,57,0,Pending
CL200006,CU300006,Auto,1877.76,2485.29,Injury,Minor,2025-06-01,24,AB,8,28,0,Approved
CL200007,CU300007,Health,1704.18,20670.95,Theft,Major,2025-05-12,42,MB,14,37,0,Rejected
CL200008,CU300008,Life,1613.63,20586.7,Fire,Major,2024-05-17,29,AB,3,69,0,Approved
CL200009,CU300009,Life,1037.87,5795.71,Weather,Moderate,2024-08-25,31,AB,12,19,0,Rejected
CL200010,CU300010,Auto,2272.84,2090.48,Water Damage,Minor,2025-07-20,23,AB,11,30,0,Approved
CL200011,CU300011,Home,1514.04,2292.48,Injury,Minor,2024-11-16,29,SK,13,56,0,Approved
CL200012,CU300012,Health,970.62,1988.94,Theft,Minor,2024-06-21,30,BC,8,66,0,Approved
CL200013,CU300013,Auto,903.03,20936.52,Weather,Total Loss,2025-12-26,23,QC,5,44,1,Rejected
CL200014,CU300014,Auto,1734.54,27112.08,Collision,Major,2025-09-25,32,ON,8,24,0,Approved
CL200015,CU300015,Auto,1747.04,6202.43,Theft,Moderate,2025-07-19,30,ON,15,27,0,Pending
CL200016,CU300016,Home,1255.54,2254.83,Injury,Minor,2024-11-03,31,ON,3,71,0,Approved
CL200017,CU300017,Home,1644.3,2276.64,Weather,Minor,2025-02-08,32,AB,10,31,0,Approved
CL200018,CU300018,Auto,1730.39,6842.2,Injury,Moderate,2025-11-21,22,QC,4,53,0,Pending
CL200019,CU300019,Auto,1508.77,2804.33,Fire,Minor,2025-01-19,35,ON,12,74,0,Approved
CL200020,CU300020,Health,1155.44,2174.37,Theft,Minor,2025-08-25,15,ON,7,41,0,Approved
CL200021,CU300021,Home,1853.77,42208.61,Injury,Total Loss,2025-09-08,18,AB,13,22,0,Pending
CL200022,CU300022,Auto,1801.81,8171.72,Collision,Moderate,2025-08-10,19,QC,3,66,0,Approved
CL200023,CU300023,Auto,1688.43,17037.87,Water Damage,Major,2025-03-14,42,QC,2,65,0,Approved
CL200024,CU300024,Life,1099.83,2033.64,Water Damage,Minor,2024-09-08,11,ON,15,57,0,Approved
CL200025,CU300025,Home,890.97,3259.45,Water Damage,Minor,2024-09-04,8,ON,6,72,0,Pending
CL200026,CU300026,Home,1482.14,17183.31,Water Damage,Major,2025-08-15,16,BC,2,64,0,Approved
