order_id,order_date,product_category,sub_category,product_name,region,customer_segment,sales,profit,quantity,discount
O400000,2024-06-22,Technology,Phones,Phones Max,West,Home Office,1797.05,483.73,3,0.0
O400001,2024-03-02,Technology,Accessories,Accessories Pro,Central,Corporate,971.44,105.21,4,0.0
O400002,2024-12-29,Furniture,Furnishings,Furnishings Plus,Central,Home Office,1031.55,181.38,4,0.0
O400003,2023-06-19,Technology,Accessories,Accessories Plus,East,Corporate,399.52,68.08,1,0.1
O400004,2025-02-03,Technology,Copiers,Copiers Max,East,Corporate,1356.52,237.03,2,0.0
O400005,2023-12-01,Technology,Machines,Machines Lite,Central,Corporate,2900.75,546.26,6,0.0
O400006,2025-01-15,Office Supplies,Paper,Paper Max,West,Corporate,420.75,36.96,7,0.3
O400007,2025-02-26,Office Supplies,Binders,Binders Plus,Central,Consumer,539.96,78.93,7,0.05
O400008,2024-11-09,Office Supplies,Appliances,Appliances Pro,West,Home Office,548.67,34.78,4,0.15
O400009,2024-09-24,Technology,Accessories,Accessories Lite,West,Consumer,1589.06,238.88,5,0.15
O400010,2023-12-14,Office Supplies,Storage,Storage Max,East,Home Office,341.51,53.87,5,0.0
O400011,2024-07-11,Furniture,Furnishings,Furnishings Standard,West,Corporate,1133.99,17.4,3,0.1
O400012,2023-07-15,Furniture,Furnishings,Furnishings Plus,Central,Consumer,927.28,41.01,3,0.1
O400013,2023-08-11,Office Supplies,Appliances,Appliances Max,Central,Consumer,69.85,16.36,1,0.0
O400014,2024-08-16,Office Supplies,Paper,Paper Lite,West,Consumer,63.71,12.43,1,0.0
O400015,2024-09-02,Technology,Copiers,Copiers Pro,Atlantic,Corporate,304.07,43.73,3,0.0
O400016,2023-07-29,Office Supplies,Paper,Paper Lite,East,Consumer,281.58,75.36,3,0.0
O400017,2025-02-12,Furniture,Bookcases,Bookcases Standard,Central,Consumer,1372.19,141.8,4,0.0
O400018,2024-06-29,Office Supplies,Paper,Paper Plus,West,Consumer,1122.4,202.12,7,0.0
O400019,2025-03-01,Office Supplies,Appliances,Appliances Lite,West,Consumer,868.44,164.77,7,0.1
O400020,2024-01-19,Office Supplies,Appliances,Appliances Plus,Atlantic,Home Office,123.87,24.52,2,0.05
O400021,2024-04-24,Office Supplies,Appliances,Appliances Plus,Atlantic,Corporate,367.49,53.81,4,0.15
O400022,2024-06-05,Furniture,Tables,Tables Standard,East,Consumer,1860.35,264.49,4,0.0
O400023,2023-05-09,Furniture,Furnishings,Furnishings Max,East,Home Office,1602.95,101.19,7,0.1
O400024,2023-08-12,Office Supplies,Binders,Binders Max,Central,Consumer,388.35,72.71,3,0.15
O400025,2025-02-10,Office Supplies,Storage,Storage Lite,West,Home Office,419.25,51.81,3,0.05
O400026,2024-06-23,Office Supplies,Binders,Binders Standard,Atlantic,Home Office,865.9,222.59,6,0.05
O400027,2024-03-09,Office Supplies,Storage,Storage Plus,West,Corporate,131.2,19.59,1,0.05
O400028,2023-01-03,Office Supplies,Appliances,Appliances Standard,West,Corporate,144.19,16.32,1,0.05
O400029,2023-01-31,Office Supplies,Appliances,Appliances Lite,West,Home Office,288.87,52.17,5,0.0
O400030,2024-03-21,Technology,Accessories,Accessories Plus,East,Consumer,1735.43,195.28,3,0.1
O400031,2023-03-07,Furniture,Furnishings,Furnishings Pro,Atlantic,Consumer,205.18,6.82,2,0.1
O400032,2023-04-24,Furniture,Chairs,Chairs Max,Central,Consumer,1959.84,91.61,6,0.05
O400033,2024-04-06,Furniture,Bookcases,Bookcases Pro,West,Consumer,426.64,8.76,2,0.3
O400034,2025-02-07,Office Supplies,Paper,Paper Standard,West,Consumer,74.98,5.73,1,0.2
O400035,2024-10-30,Office Supplies,Binders,Binders Plus,West,Home Office,75.09,6.17,1,0.05
O400036,2024-01-08,Office Supplies,Appliances,Appliances Plus,Central,Consumer,851.38,108.53,7,0.15
O400037,2025-01-23,Office Supplies,Appliances,Appliances Max,Central,Consumer,614.62,198.07,4,0.0
O400038,2024-04-29,Office Supplies,Binders,Binders Max,West,Consumer,98.32,9.03,1,0.15
O400039,2025-01-25,Office Supplies,Paper,Paper Plus,Central,Consumer,183.35,18.34,2,0.15
O400040,2023-07-10,Office Supplies,Storage,Storage Standard,Central,Home Office,495.39,86.6,3,0.05
O400041,2024-04-07,Technology,Phones,Phones Standard,Atlantic,Home Office,2380.76,552.84,7,0.05
O400042,2025-01-07,Office Supplies,Paper,Paper Pro,East,Corporate,425.62,64.7,4,0.1
O400043,2025-02-24,Technology,Phones,Phones Max,East,Corporate,2223.4,230.86,6,0.05
O400044,2024-11-19,Office Supplies,Binders,Binders Max,West,Corporate,805.58,151.57,4,0.1
O400045,2023-04-30,Technology,Phones,Phones Plus,Atlantic,Consumer,1423.31,134.41,6,0.2
O400046,2024-05-10,Furniture,Bookcases,Bookcases Lite,West,Consumer,380.2,45.37,1,0.05
O400047,2023-03-17,Furniture,Bookcases,Bookcases Pro,East,Consumer,376.86,25.21,3,0.0
O400048,2023-11-03,Office Supplies,Paper,Paper Standard,East,Consumer,287.16,40.71,4,0.1
O400049,2023-01-25,Office Supplies,Binders,Binders Plus,East,Home Office,96.31,21.79,1,0.1
O400050,2024-08-30,Technology,Machines,Machines Max,Central,Corporate,721.35,108.53,2,0.1
O400051,2024-09-11,Technology,Copiers,Copiers Plus,Central,Consumer,1898.3,418.45,5,0.0
O400052,2023-03-15,Office Supplies,Appliances,Appliances Pro,West,Consumer,521.21,87.2,5,0.1
O400053,2025-01-03,Technology,Machines,Machines Standard,Central,Corporate,318.71,74.2,1,0.0
O400054,2024-11-02,Office Supplies,Storage,Storage Plus,Atlantic,Home Office,330.75,69.34,2,0.05
O400055,2024-11-02,Office Supplies,Binders,Binders Standard,West,Home Office,296.33,50.03,4,0.05
O400056,2023-12-24,Office Supplies,Appliances,Appliances Standard,West,Corporate,242.03,38.06,2,0.2
O400057,2025-01-21,Technology,Phones,Phones Lite,Atlantic,Corporate,415.69,15.07,1,0.2
O400058,2025-02-25,Office Supplies,Storage,Storage Pro,East,Consumer,68.16,15.14,1,0.15
O400059,2024-03-14,Office Supplies,Binders,Binders Max,East,Consumer,355.59,69.48,4,0.15
O400060,2023-10-30,Furniture,Furnishings,Furnishings Pro,East,Consumer,929.19,97.9,3,0.0
O400061,2024-09-02,Office Supplies,Appliances,Appliances Lite,East,Corporate,647.25,87.87,4,0.15
O400062,2023-02-05,Technology,Machines,Machines Lite,Central,Home Office,1554.36,173.49,5,0.15
O400063,2023-09-27,Office Supplies,Paper,Paper Max,Central,Home Office,925.45,126.19,4,0.15
O400064,2023-01-04,Technology,Copiers,Copiers Pro,East,Consumer,1811.78,309.72,4,0.15
O400065,2024-09-05,Furniture,Chairs,Chairs Lite,West,Consumer,2083.62,193.91,6,0.0
O400066,2023-02-04,Technology,Machines,Machines Pro,East,Consumer,1099.96,115.36,2,0.0
O400067,2024-08-25,Office Supplies,Binders,Binders Pro,East,Corporate,81.29,10.74,2,0.15
O400068,2024-03-28,Furniture,Furnishings,Furnishings Standard,Central,Corporate,2622.89,413.44,6,0.0
O400069,2023-12-15,Technology,Phones,Phones Plus,Central,Corporate,451.09,104.08,2,0.0
O400070,2024-05-19,Technology,Accessories,Accessories Pro,Atlantic,Home Office,2684.42,95.81,7,0.3
O400071,2023-02-05,Office Supplies,Storage,Storage Pro,West,Corporate,199.74,7.65,3,0.3
O400072,2024-10-10,Technology,Machines,Machines Lite,West,Corporate,287.38,43.91,1,0.05
O400073,2023-08-02,Office Supplies,Storage,Storage Standard,Central,Home Office,972.23,182.04,5,0.0
O400074,2024-11-05,Office Supplies,Paper,Paper Max,Central,Corporate,330.07,26.32,3,0.05
O400075,2024-12-09,Office Supplies,Paper,Paper Lite,West,Consumer,55.7,9.88,1,0.0
O400076,2024-03-16,Office Supplies,Storage,Storage Lite,Atlantic,Consumer,321.88,79.03,2,0.0
